cultivar,program,region,date,year,gdd_cumulative,brix,ta,ph,brix_ta_ratio,berry_weight_g,berry_size_mm,n_samples,n_sites,provenance
Cabernet Franc,NYWGF,Finger Lakes,2025-08-19,2025,1774.0,8.1,31.68,2.78,0.26,0.8,12.4,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-09-04,2025,1980.0,14.8,10.15,3.09,1.47,1.16,13.7,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-09-17,2025,2134.0,18.8,5.76,3.36,3.3,1.34,14.1,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-09-29,2025,2290.0,20.8,4.57,3.23,4.57,1.38,14.0,5,1,Extension monitoring
Cabernet Franc,NYWGF,Finger Lakes,2025-10-15,2025,2432.0,22.7,4.86,3.32,4.68,1.32,13.9,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-07-01,2024,1013.0,4.1,21.76,2.81,0.19,0.34,9.9,1,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-07-18,2024,1321.0,3.7,27.44,2.95,0.14,0.82,12.3,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-07-30,2024,1523.0,4.7,31.37,2.85,0.15,0.84,12.3,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-08-13,2024,1765.0,6.8,32.22,2.75,0.21,1.06,13.1,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-08-26,2024,1957.0,13.7,13.63,3.06,1.01,1.34,12.0,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-09-09,2024,2163.0,19.3,8.5,3.4,2.27,1.56,12.7,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-09-16,2024,2269.0,19.2,7.7,3.32,2.5,1.42,12.2,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-09-23,2024,2381.0,22.2,4.83,3.66,4.62,1.46,13.9,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-09-30,2024,2486.0,22.7,5.3,3.67,4.31,1.54,14.4,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-10-07,2024,2564.0,22.5,5.03,3.65,4.48,1.58,12.7,5,1,Extension monitoring
Cabernet Franc,NYWGF,Western NY,2024-10-18,2024,2631.0,23.5,4.68,3.74,5.08,1.55,14.3,10,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1753.0,13.1,17.98,2.82,0.73,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-08-27,2024,1870.0,14.9,15.72,2.82,0.97,,,4,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-09-02,2024,1949.0,16.4,13.37,2.95,1.27,,,4,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-09-07,2024,2038.0,19.2,9.9,3.04,1.97,,,6,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-09-18,2024,2146.0,20.0,8.08,3.13,2.51,,,6,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-09-21,2024,2244.0,21.5,7.38,3.17,3.0,,,4,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2024-09-28,2024,2346.0,21.6,6.77,3.24,3.31,,,5,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-08-28,2025,1837.0,11.6,24.37,2.65,0.51,,,6,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-09-02,2025,1774.0,11.9,25.3,2.65,0.47,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-09-08,2025,1951.0,16.1,15.39,2.84,1.15,,,9,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-09-17,2025,2065.0,19.0,11.13,2.98,1.73,,,5,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-09-27,2025,2152.0,20.5,8.92,3.1,2.34,,,6,5,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-09-30,2025,2253.0,21.6,8.37,3.12,2.59,,,5,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Finger Lakes,2025-10-10,2025,2348.0,23.7,7.95,3.14,3.06,,,7,4,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-08-26,2024,2028.0,12.9,11.68,2.96,1.1,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-09-02,2024,2145.0,15.0,8.08,3.22,1.86,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2225.0,17.4,7.1,3.29,2.45,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2321.0,18.6,6.4,3.38,2.91,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-09-23,2024,2416.0,20.2,5.9,3.4,3.42,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2503.0,20.4,6.26,3.36,3.26,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1980.0,17.6,10.69,3.04,1.65,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-09-02,2025,2075.0,19.9,8.8,3.03,2.26,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-09-08,2025,2157.0,20.1,7.01,3.31,2.87,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2244.0,22.3,6.04,3.31,3.69,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-09-22,2025,2328.0,24.1,5.57,3.37,4.33,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Hudson Valley,2025-09-29,2025,2431.0,24.4,4.96,3.5,4.92,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-08-26,2024,1971.0,14.1,16.48,2.8,0.86,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-09-02,2024,2091.0,16.0,14.31,3.05,1.12,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-09-09,2024,2179.0,19.9,8.98,3.2,2.22,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-09-16,2024,2286.0,21.9,8.85,3.19,2.47,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-09-23,2024,2398.0,22.5,7.39,3.39,3.04,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2024-09-30,2024,2504.0,22.5,5.89,3.47,3.82,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-09-02,2025,1953.0,13.5,19.1,2.76,0.71,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-09-08,2025,2024.0,14.9,14.19,2.91,1.05,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-09-15,2025,2111.0,17.7,11.22,3.06,1.58,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-09-22,2025,2212.0,20.3,8.09,3.15,2.51,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-10-02,2025,2352.0,22.0,8.12,3.26,2.72,,,2,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Lake Erie,2025-10-13,2025,2453.0,23.5,7.28,3.29,3.23,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-08-26,2024,2008.0,15.7,12.47,3.08,1.26,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-09-02,2024,2129.0,17.9,8.69,3.28,2.09,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-09-09,2024,2218.0,18.8,7.42,3.38,2.57,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-09-16,2024,2311.0,20.0,6.3,3.45,3.19,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-09-25,2024,2441.0,20.6,6.25,3.54,3.33,,,3,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2024-09-30,2024,2507.0,21.5,5.22,3.55,4.12,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-08-25,2025,1987.0,15.9,11.82,3.09,1.35,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-09-02,2025,2096.0,17.7,8.8,3.1,2.01,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-09-08,2025,2180.0,18.8,6.96,3.28,2.71,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-09-15,2025,2274.0,19.8,6.34,3.29,3.14,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-09-22,2025,2368.0,21.0,5.7,3.43,3.69,,,2,2,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-09-29,2025,2476.0,22.3,5.96,3.45,3.74,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Long Island,2025-10-06,2025,2560.0,22.4,4.99,3.57,4.49,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-08-25,2025,1855.0,13.5,23.09,2.61,0.58,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-09-02,2025,1949.0,16.2,18.3,2.76,0.89,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-09-08,2025,2019.0,17.4,15.04,2.83,1.16,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-09-15,2025,2108.0,20.0,11.12,3.0,1.8,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-09-22,2025,2203.0,22.2,8.64,3.08,2.57,,,1,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-10-02,2025,2350.0,23.9,7.56,3.16,3.19,,,2,1,Extension monitoring
Cabernet Franc,Veraison to Harvest,Niagara,2025-10-13,2025,2447.0,25.1,6.02,3.31,4.17,,,1,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-07-01,2024,968.0,4.0,19.99,3.02,0.2,0.12,7.3,1,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-07-16,2024,1256.0,3.8,34.57,2.73,0.11,0.52,11.3,1,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,4.5,41.56,2.76,0.11,0.58,14.0,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,7.9,28.68,2.86,0.28,0.75,14.5,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,14.7,15.96,2.98,0.93,1.0,14.5,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,17.9,11.43,3.05,1.57,1.35,13.7,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-09-24,2024,2323.0,19.2,9.06,3.19,2.15,1.22,13.8,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2024-10-01,2024,2414.0,19.8,5.88,3.26,3.37,1.29,14.1,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-07-06,2025,980.0,8.1,41.32,3.04,0.2,0.1,,1,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-07-20,2025,1248.0,4.3,38.73,2.7,0.11,0.43,11.1,1,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-08-03,2025,1486.0,5.0,44.14,2.91,0.11,0.46,11.4,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-08-19,2025,1774.0,8.5,33.38,2.83,0.26,0.49,10.5,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-09-05,2025,1994.0,14.7,9.4,3.05,1.57,1.13,13.6,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-09-17,2025,2134.0,17.2,6.51,3.22,2.65,1.29,14.0,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-09-29,2025,2290.0,17.8,6.44,3.21,2.78,1.37,13.9,5,1,Extension monitoring
Cabernet Sauvignon,NYWGF,Finger Lakes,2025-10-15,2025,2432.0,20.4,5.29,3.3,3.87,1.27,13.5,5,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-08-26,2024,1971.0,13.7,19.72,2.8,0.69,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-09-02,2024,2091.0,18.4,8.02,3.32,2.29,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-09-09,2024,2179.0,18.2,11.86,3.08,1.53,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-09-16,2024,2286.0,19.4,11.2,3.08,1.73,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-09-23,2024,2398.0,20.5,9.4,3.21,2.18,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2024-09-30,2024,2504.0,20.2,7.78,3.3,2.6,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-08-25,2025,1863.0,11.0,27.1,2.65,0.41,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-09-02,2025,1953.0,15.4,20.0,2.78,0.77,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-09-08,2025,2024.0,17.1,14.78,2.91,1.16,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-09-15,2025,2111.0,18.7,11.42,3.04,1.64,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-09-22,2025,2212.0,20.4,8.67,3.14,2.35,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-10-02,2025,2352.0,21.1,8.64,3.24,2.44,,,2,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Lake Erie,2025-10-13,2025,2453.0,22.2,7.14,3.37,3.11,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-08-25,2025,1855.0,16.2,17.51,2.72,0.93,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-09-02,2025,1949.0,17.5,15.8,2.8,1.11,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-09-08,2025,2019.0,18.4,12.96,2.87,1.42,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-09-15,2025,2108.0,20.7,9.74,2.99,2.13,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-09-22,2025,2203.0,22.0,7.6,3.12,2.89,,,1,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-10-02,2025,2350.0,23.0,6.98,3.14,3.3,,,2,1,Extension monitoring
Cabernet Sauvignon,Veraison to Harvest,Niagara,2025-10-13,2025,2447.0,24.5,5.35,3.24,4.58,,,1,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-07-01,2024,1013.0,4.0,20.35,2.84,0.2,0.28,9.2,1,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-07-18,2024,1321.0,3.5,26.95,2.96,0.13,0.7,11.6,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-07-30,2024,1523.0,4.6,31.49,2.86,0.15,0.88,12.4,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-08-13,2024,1765.0,8.4,28.92,2.8,0.29,1.0,11.6,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-08-26,2024,1957.0,13.9,17.03,3.06,0.83,1.24,11.1,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-09-09,2024,2163.0,18.6,9.36,3.32,1.99,1.56,12.4,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-09-16,2024,2269.0,20.4,6.66,3.36,3.07,1.24,12.5,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-09-23,2024,2381.0,21.4,5.78,3.53,3.71,1.62,14.3,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-09-30,2024,2486.0,20.6,5.35,3.61,3.86,1.56,14.3,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-10-07,2024,2564.0,20.9,4.68,3.65,4.48,1.54,13.0,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2024-10-18,2024,2631.0,21.7,4.65,3.64,4.69,1.61,14.5,10,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-07-07,2025,1005.0,4.5,23.51,2.85,0.19,,,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-07-24,2025,1302.0,3.9,26.27,2.83,0.15,,,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-08-07,2025,1543.0,4.4,34.46,2.77,0.13,,,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-08-19,2025,1766.0,4.6,31.08,2.87,0.15,,,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-09-08,2025,2013.0,17.7,13.26,3.1,1.34,1.25,13.0,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-09-22,2025,2200.0,19.1,8.52,3.21,2.25,1.32,13.5,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-10-06,2025,2383.0,19.8,6.19,3.46,3.27,1.31,13.7,5,1,Extension monitoring
Cabernet Sauvignon (C3),NYWGF,Western NY,2025-10-13,2025,2440.0,22.9,5.29,3.68,4.32,1.43,14.1,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-07-18,2024,1321.0,3.5,26.68,2.97,0.13,0.8,12.2,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-07-30,2024,1523.0,4.3,31.95,2.85,0.14,0.94,12.6,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-08-13,2024,1765.0,8.3,28.49,2.83,0.3,1.14,11.9,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-08-26,2024,1957.0,14.7,17.72,3.03,0.84,1.3,11.1,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-09-09,2024,2163.0,17.8,9.95,3.3,1.79,1.32,11.9,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-09-16,2024,2269.0,18.2,7.94,3.33,2.29,1.5,14.0,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-09-23,2024,2381.0,20.5,6.09,3.51,3.38,1.5,14.0,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-09-30,2024,2486.0,21.6,5.34,3.64,4.06,1.58,14.4,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-10-07,2024,2564.0,20.9,5.15,3.62,4.06,1.68,13.4,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2024-10-18,2024,2631.0,21.1,4.91,3.62,4.32,1.6,14.4,10,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-07-07,2025,1005.0,4.4,22.22,2.93,0.2,,,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-07-24,2025,1302.0,4.1,27.65,2.8,0.15,,,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-08-07,2025,1543.0,4.1,32.95,2.81,0.13,,,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-08-19,2025,1766.0,8.0,32.85,2.85,0.24,,,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-09-08,2025,2013.0,15.2,14.56,3.09,1.05,1.27,13.0,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-09-22,2025,2200.0,19.1,8.87,3.19,2.15,1.29,13.1,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-10-06,2025,2383.0,20.8,7.19,3.4,2.9,1.4,14.0,5,1,Extension monitoring
Cabernet Sauvignon (CR),NYWGF,Western NY,2025-10-13,2025,2440.0,22.6,5.66,3.64,4.0,1.54,14.4,5,1,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1797.0,15.5,13.42,2.93,1.15,,,1,1,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1882.0,16.4,11.26,2.98,1.53,,,2,2,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-09-04,2024,1953.0,17.1,10.3,3.05,1.66,,,3,2,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-09-09,2024,2050.0,19.2,8.51,3.13,2.28,,,4,3,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-09-16,2024,2176.0,21.2,6.7,3.16,3.16,,,1,1,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2024-09-23,2024,2274.0,22.4,5.9,3.27,3.8,,,1,1,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2025-08-25,2025,1741.0,12.5,16.33,2.75,0.77,,,1,1,Extension monitoring
